Player,MPG,FGMPG,FGAPG,FG%,3PMPG,3PAPG,3P%,FTMPG,FTAPG,FT%,ORPG,DRPG,RPG,APG,AST,TOPG,BLKPG,BLK,STPG,STL,PFPG,PPG,PTS
Amy CONROY,7.1,0.3,1.0,33.3,0.0,0.0,0.0,1.0,1.3,75.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.7,5
Kaan DALAY,26.0,5.0,8.8,57.1,0.0,0.0,0.0,0.5,1.5,33.3,1.0,0.8,1.8,1.3,5,1.3,0.0,0,0.3,1,0.8,10.5,42
Nicola DAMIANO,25.5,2.0,5.5,36.4,0.0,0.3,0.0,1.3,1.5,83.3,0.0,2.5,2.5,2.5,10,1.3,0.0,0,0.3,1,2.3,5.3,21
Christophe DA SILVA,16.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,1.0,0.5,2,0.5,0.0,0,0.0,0,0.8,0.0,0
Roger DEDA,26.9,1.3,4.0,31.3,0.0,0.0,0.0,0.0,0.8,0.0,1.0,5.3,6.3,1.0,4,2.0,0.0,0,0.5,2,2.3,2.5,10
Simone DE MAGGI,27.8,6.0,12.5,48.0,0.0,1.0,0.0,3.0,4.8,63.2,2.3,3.3,5.5,0.0,0,0.0,0.0,0,0.3,1,1.5,15.0,60
Dario DI FRANCESCO,5.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.0,3
Elhadji DIOUF,22.2,2.0,5.3,38.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,3.5,0.3,1,0.8,0.0,0,1.5,6,2.0,4.0,16
Igal Allon DOR ONN (4.5),29.6,6.0,13.5,44.4,0.3,1.3,20.0,3.0,5.3,57.1,0.8,4.8,5.5,1.3,5,2.0,0.0,0,0.0,0,2.0,15.3,61
Florence DOUMESCHE-GUEDOUN (1.0),8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.3,0.0,0
Lior DROR,23.0,6.8,11.8,57.4,0.0,0.3,0.0,0.3,1.3,20.0,1.8,4.5,6.3,3.0,12,1.8,0.0,0,1.3,5,3.0,13.8,55
Jérôme DURAN,40.0,3.8,9.8,38.5,0.0,0.3,0.0,0.0,0.3,0.0,0.8,2.0,2.8,2.0,8,0.8,0.0,0,0.0,0,1.8,7.5,30
Irai Elhanan ERENLIB,24.2,1.8,2.3,77.8,0.0,0.0,0.0,0.3,1.3,20.0,0.0,2.0,2.0,0.3,1,3.0,0.0,0,0.8,3,2.5,3.8,15
Vanessa ERSKINE,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.0,0.0,0
Najib ESSAHIRI,10.6,0.3,2.5,10.0,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.5,0.8,3,0.8,0.0,0,0.5,2,0.8,0.5,2
Arnaud FAUPIN,16.1,1.7,3.0,55.6,0.0,0.0,0.0,1.7,2.3,71.4,1.0,1.3,2.3,1.0,3,0.0,0.0,0,0.0,0,0.7,5.0,15
Roy FEIN,13.2,2.0,2.7,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.0,0,0.3,0.0,0,0.7,2,0.3,4.0,12
Mauro FIORENTINI,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
Reo FUJIMOTO,26.4,4.3,8.0,53.1,0.0,0.3,0.0,1.3,2.0,62.5,0.5,3.3,3.8,0.5,2,0.0,0.0,0,0.5,2,1.0,9.8,39
Harouna GAYE,5.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.0,0.0,0
Musab GAYOOSI,23.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.0,2
Jacopo GENINAZZI,34.8,5.0,12.0,41.7,0.3,0.8,33.3,0.8,1.8,42.9,1.8,6.3,8.0,3.8,15,2.0,0.0,0,1.0,4,2.0,11.0,44
Cem GEZINCI,20.3,4.0,7.0,57.1,0.0,0.0,0.0,0.8,1.8,42.9,1.3,5.0,6.3,2.0,8,0.8,0.8,3,0.3,1,1.8,8.8,35
Vahid GHOLAMAZAD,21.6,7.3,12.5,58.0,0.0,0.3,0.0,1.8,2.8,63.6,2.3,3.5,5.8,2.3,9,0.5,0.0,0,1.0,4,0.5,16.3,65
Jack GIBBS,12.7,1.0,3.5,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,4,0.3,0.0,0,0.3,1,1.5,2.0,8
Cristian GOMEZ,33.1,6.8,16.8,40.3,0.3,2.0,12.5,2.0,3.8,53.3,2.0,4.3,6.3,4.5,18,0.8,0.0,0,2.3,9,1.8,15.8,63
Nikola GONCIN,16.7,3.0,7.5,40.0,0.0,1.5,0.0,2.0,3.0,66.7,1.0,3.0,4.0,2.0,4,0.5,0.0,0,0.0,0,1.0,8.0,16
Claudio GONZALEZ,23.0,3.5,7.5,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,4.0,0.0,0,1.0,0.0,0,0.0,0,0.5,7.0,14
Samir GOUTALI,34.5,1.5,5.5,27.3,0.0,0.0,0.0,0.5,2.5,20.0,1.5,2.0,3.5,1.8,7,0.8,0.0,0,0.8,3,1.8,3.5,14
Nabil GUEDOUN,21.3,2.7,8.7,30.8,0.0,1.3,0.0,0.7,0.7,100.0,1.3,1.7,3.0,1.0,3,0.3,0.0,0,0.0,0,1.3,6.0,18
Ibrahim GUIRASSY (1.0),17.0,1.0,2.8,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,1.8,0.8,3,0.3,0.0,0,0.0,0,0.8,2.0,8
Fikri GUNDOGDU,20.9,1.5,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,4,0.3,0.0,0,0.0,0,0.5,3.0,12
Yasemin GÜLER,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.3,0.0,0
Ferit GÜMÜŞ,25.3,4.0,6.5,61.5,0.0,0.3,0.0,1.3,1.5,83.3,0.8,4.8,5.5,2.8,11,1.3,0.0,0,1.0,4,2.0,9.3,37
Özgür GÜRBULAK,25.1,4.0,8.3,48.5,1.3,2.5,50.0,2.0,2.8,72.7,1.0,5.8,6.8,8.0,32,2.3,0.3,1,0.8,3,1.8,11.3,45
Omid HADIAZHAR,32.9,4.3,9.3,45.9,0.3,0.8,33.3,1.3,1.5,83.3,1.8,3.5,5.3,3.0,12,0.8,0.0,0,1.3,5,3.0,10.0,40
Aliaksandr HALOUSKI,29.3,8.0,13.5,59.3,0.0,0.0,0.0,3.0,4.5,66.7,0.8,9.8,10.5,4.3,17,1.0,0.5,2,1.3,5,0.5,19.0,76
Louis HARDOUIN,27.3,3.0,8.0,37.5,0.3,0.5,50.0,0.3,1.0,25.0,1.0,0.8,1.8,1.8,7,2.3,0.0,0,0.3,1,1.8,6.5,26
Mathias HEIMBACH,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0.0,0,1.5,0.0,0
Angel David HERNANDEZ,24.4,1.0,3.3,30.8,0.0,0.3,0.0,0.3,1.3,20.0,0.3,0.3,0.5,1.0,4,0.3,0.0,0,0.3,1,3.0,2.3,9
Beatrice Sorina ION,25.2,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.8,0.0,0,0.0,0.0,0,0.0,0,1.0,1.0,4
Luis Eduardo JASSO SANDOVAL,28.0,4.3,7.5,56.7,0.0,0.3,0.0,0.0,0.5,0.0,1.0,3.3,4.3,0.5,2,0.5,0.0,0,0.3,1,1.8,8.5,34
Nicolas JOUANSERRE,32.9,8.3,16.0,51.6,1.0,2.0,50.0,2.5,3.8,66.7,0.5,5.0,5.5,2.8,11,1.0,0.3,1,0.0,0,1.8,20.0,80
Stephane KELLER,31.6,0.8,3.3,23.1,0.0,1.0,0.0,0.3,0.5,50.0,0.5,1.5,2.0,2.0,8,0.0,0.0,0,0.3,1,2.3,1.8,7
Benjamin Edward KENYON,21.6,2.0,3.3,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,2.0,8,0.3,0.0,0,0.8,3,1.0,4.0,16
Sangyeol KIM,23.5,5.5,8.3,66.7,0.0,0.0,0.0,1.0,2.5,40.0,1.5,2.8,4.3,0.0,0,1.3,0.3,1,0.3,1,1.8,12.0,48
Seda KINALI,9.8,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.0,2.0,2
Mustafa KORKMAZ,31.1,3.3,10.0,32.5,0.0,1.0,0.0,0.8,1.0,75.0,0.5,1.3,1.8,2.0,8,0.5,0.0,0,0.0,0,1.3,7.3,29
Pathy KOTI BINGO (2.0),11.2,1.0,1.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0,1.3,0.0,0,0.3,1,2.0,2.0,6
Hiroaki KOZAI,27.2,4.8,11.5,41.3,0.8,2.0,37.5,0.0,0.0,0.0,1.0,2.0,3.0,3.0,12,0.5,0.0,0,0.0,0,0.8,10.3,41
Jérôme LAURERI,22.6,1.8,3.0,58.3,0.0,0.0,0.0,0.5,0.8,66.7,0.3,1.0,1.3,0.5,2,0.3,0.0,0,0.0,0,1.0,4.0,16
Pablo LAVANDEIRA POYATO,8.6,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0,0.5,0.0,0,0.3,1,0.8,0.5,2
Hervé LE VAILLANT,15.6,0.7,1.0,66.7,0.0,0.0,0.0,0.7,0.7,100.0,0.0,0.0,0.0,0.3,1,0.0,0.0,0,0.0,0,0.7,2.0,6
Joakim LINDÉN,28.0,6.8,10.3,65.9,0.0,0.3,0.0,2.0,3.5,57.1,0.3,2.8,3.0,3.8,15,0.8,0.0,0,1.3,5,1.3,15.5,62
Isabel de Jesús LÓPEZ CHÁVEZ,5.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0,0.0,0.0,0,0.0,0,0.3,0.0,0
